ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.qry.type
192.168.1.3	57107	192.168.2.2	53	dnscat.786300f6e391120021636f6d6d616e6420286c696e75782900	16
192.168.2.2	53	192.168.1.3	57107	dnscat.786300f6e391120021636f6d6d616e6420286c696e75782900	16
192.168.1.3	57107	192.168.2.2	53	dnscat.6c6201f6e39112b24f	16
192.168.2.2	53	192.168.1.3	57107	dnscat.6c6201f6e39112b24f	16
192.168.1.3	57107	192.168.2.2	53	dnscat.f4c700969a07800001736820286c696e75782900	15
192.168.2.2	53	192.168.1.3	57107	dnscat.f4c700969a07800001736820286c696e75782900	15
192.168.1.3	57107	192.168.2.2	53	dnscat.4bbb01f6e39112b25d0000000680010001969a	5
192.168.2.2	53	192.168.1.3	57107	dnscat.4bbb01f6e39112b25d0000000680010001969a	5
192.168.1.3	57107	192.168.2.2	53	dnscat.c24901969a07805de6	5
192.168.2.2	53	192.168.1.3	57107	dnscat.c24901969a07805de6	5
192.168.1.3	57107	192.168.2.2	53	dnscat.59dc01f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.59dc01f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.18e801969a07805dec73683a20313a207368656c6c3a206e6f7420666f75.6e640a	16
192.168.2.2	53	192.168.1.3	57107	dnscat.18e801969a07805dec73683a20313a207368656c6c3a206e6f7420666f75.6e640a	16
192.168.1.3	57107	192.168.2.2	53	dnscat.735d01969a07985dec	16
192.168.2.2	53	192.168.1.3	57107	dnscat.735d01969a07985dec	16
192.168.1.3	57107	192.168.2.2	53	dnscat.acbf01f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.acbf01f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.3dd201969a07985dec	5
192.168.2.2	53	192.168.1.3	57107	dnscat.3dd201969a07985dec	5
192.168.1.3	57107	192.168.2.2	53	dnscat.7bc901f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.7bc901f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.43bc01969a07985dec	16
192.168.2.2	53	192.168.1.3	57107	dnscat.43bc01969a07985dec	16
192.168.1.3	57107	192.168.2.2	53	dnscat.cb3b01f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.cb3b01f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.961601969a07985dec	16
192.168.2.2	53	192.168.1.3	57107	dnscat.961601969a07985dec	16
192.168.1.3	57107	192.168.2.2	53	dnscat.ca0b01f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.ca0b01f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.0b6501969a07985dec	15
192.168.2.2	53	192.168.1.3	57107	dnscat.0b6501969a07985dec	15
192.168.1.3	57107	192.168.2.2	53	dnscat.823801f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.823801f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.03d901969a07985dec	15
192.168.2.2	53	192.168.1.3	57107	dnscat.03d901969a07985dec	15
192.168.1.3	57107	192.168.2.2	53	dnscat.419601969a07985def636f6e74726f6c6c65720a646e736361740a646e73.6361742e630a646e736361742e6f0a647269766572730a6c6962730a4d61.6b6566696c650a4d616b6566696c652e77696e0a7463706361742e630a74.756e6e656c5f647269766572730a77696e33320a	15
192.168.2.2	53	192.168.1.3	57107	dnscat.419601969a07985def636f6e74726f6c6c65720a646e736361740a646e73.6361742e630a646e736361742e6f0a647269766572730a6c6962730a4d61.6b6566696c650a4d616b6566696c652e77696e0a7463706361742e630a74.756e6e656c5f647269766572730a77696e33320a	15
192.168.1.3	57107	192.168.2.2	53	dnscat.f63501969a07fd5def	5
192.168.2.2	53	192.168.1.3	57107	dnscat.f63501969a07fd5def	5
192.168.1.3	57107	192.168.2.2	53	dnscat.2c0701f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.2c0701f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.4e3b01969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.4e3b01969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.870901f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.870901f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.d75b01969a07fd5def	15
