ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.flags	rpc.msgtyp	rpc.program	rpc.procedure	dns.qry.name
192.168.1.3		192.168.2.2						
192.168.1.3		192.168.2.2						
192.168.2.2		192.168.1.3						
192.168.2.2		192.168.1.3						
192.168.1.3	41128	192.168.2.2	53	0x00000018				version.bind
192.168.1.3	34906	192.168.2.2	111	0x00000018	0	100000	0,0	
192.168.2.2	111	192.168.1.3	34906	0x00000018	1	100000	0	
192.168.2.2	53	192.168.1.3	41128	0x00000018				version.bind
192.168.1.3	727	192.168.2.2	111	0x00000018	0	100000	4	
192.168.2.2	111	192.168.1.3	727	0x00000018	1	100000	4	
192.168.1.3	565	192.168.2.2	111	0x00000018	0	100000	0,0	
192.168.1.3	1011	192.168.2.2	111	0x00000018	0	100001	0,0	
192.168.1.3	804	192.168.2.2	111	0x00000018				
192.168.1.3	634	192.168.2.2	111	0x00000018	0	100003	0,0	
192.168.2.2	111	192.168.1.3	565	0x00000018	1	100000	0	
192.168.2.2	111	192.168.1.3	1011	0x00000018	1	100001	0	
192.168.2.2	111	192.168.1.3	804	0x00000018				
192.168.2.2	111	192.168.1.3	634	0x00000018	1	100003	0	
