frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport
5	192.168.1.3	39684	140.82.121.3	443
6	140.82.121.3	443	192.168.1.3	39684
7	192.168.1.3	39684	140.82.121.3	443
8	192.168.1.3	39684	140.82.121.3	443
9	140.82.121.3	443	192.168.1.3	39684
10	192.168.1.3	39684	140.82.121.3	443
11	192.168.1.3	39684	140.82.121.3	443
12	140.82.121.3	443	192.168.1.3	39684
13	192.168.1.3	39684	140.82.121.3	443
14	140.82.121.3	443	192.168.1.3	39684
15	140.82.121.3	443	192.168.1.3	39684
16	192.168.1.3	39684	140.82.121.3	443
17	192.168.1.3	39684	140.82.121.3	443
18	140.82.121.3	443	192.168.1.3	39684
19	140.82.121.3	443	192.168.1.3	39684
20	140.82.121.3	443	192.168.1.3	39684
21	140.82.121.3	443	192.168.1.3	39684
22	192.168.1.3	39684	140.82.121.3	443
23	192.168.1.3	39684	140.82.121.3	443
24	192.168.1.3	39684	140.82.121.3	443
29	192.168.1.3	54082	185.199.110.133	443
30	185.199.110.133	443	192.168.1.3	54082
31	192.168.1.3	54082	185.199.110.133	443
32	192.168.1.3	54082	185.199.110.133	443
33	185.199.110.133	443	192.168.1.3	54082
34	185.199.110.133	443	192.168.1.3	54082
35	185.199.110.133	443	192.168.1.3	54082
36	185.199.110.133	443	192.168.1.3	54082
37	192.168.1.3	54082	185.199.110.133	443
38	192.168.1.3	54082	185.199.110.133	443
39	192.168.1.3	54082	185.199.110.133	443
40	192.168.1.3	54082	185.199.110.133	443
41	185.199.110.133	443	192.168.1.3	54082
42	185.199.110.133	443	192.168.1.3	54082
43	192.168.1.3	54082	185.199.110.133	443
44	185.199.110.133	443	192.168.1.3	54082
45	185.199.110.133	443	192.168.1.3	54082
46	185.199.110.133	443	192.168.1.3	54082
47	192.168.1.3	54082	185.199.110.133	443
48	192.168.1.3	54082	185.199.110.133	443
49	192.168.1.3	39684	140.82.121.3	443
50	185.199.110.133	443	192.168.1.3	54082
51	185.199.110.133	443	192.168.1.3	54082
52	185.199.110.133	443	192.168.1.3	54082
53	185.199.110.133	443	192.168.1.3	54082
54	192.168.1.3	54082	185.199.110.133	443
55	192.168.1.3	54082	185.199.110.133	443
56	185.199.110.133	443	192.168.1.3	54082
57	192.168.1.3	54082	185.199.110.133	443
