frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.flags	tcp.payload
1	192.168.1.3	45000	192.168.2.2	80	0x00000002	
2	192.168.2.2	80	192.168.1.3	45000	0x00000012	
3	192.168.1.3	45000	192.168.2.2	80	0x00000010	
4	192.168.1.3	45000	192.168.2.2	80	0x00000018	474554202f3f3131333720485454502f312e310d0a
5	192.168.2.2	80	192.168.1.3	45000	0x00000010	
6	192.168.1.3	45000	192.168.2.2	80	0x00000018	557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31325f3029204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a
7	192.168.1.3	45002	192.168.2.2	80	0x00000002	
8	192.168.2.2	80	192.168.1.3	45000	0x00000010	
9	192.168.2.2	80	192.168.1.3	45002	0x00000012	
10	192.168.1.3	45002	192.168.2.2	80	0x00000010	
11	192.168.1.3	45002	192.168.2.2	80	0x00000018	474554202f3f3138393420485454502f312e310d0a
12	192.168.2.2	80	192.168.1.3	45002	0x00000010	
13	192.168.1.3	45004	192.168.2.2	80	0x00000002	
14	192.168.1.3	45002	192.168.2.2	80	0x00000018	557365722d4167656e743a204d6f7a696c6c612f352e3020284d6163696e746f73683b20496e74656c204d6163204f5320582031305f31315f3629204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35342e302e323834302e3731205361666172692f3533372e33360d0a4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a
15	192.168.2.2	80	192.168.1.3	45004	0x00000012	
16	192.168.2.2	80	192.168.1.3	45002	0x00000010	
17	192.168.1.3	45004	192.168.2.2	80	0x00000010	
18	192.168.1.3	45004	192.168.2.2	80	0x00000018	474554202f3f32303020485454502f312e310d0a
19	192.168.2.2	80	192.168.1.3	45004	0x00000010	
20	192.168.1.3	45006	192.168.2.2	80	0x00000002	
21	192.168.1.3	45004	192.168.2.2	80	0x00000018	557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a34392e3029204765636b6f2f32303130303130312046697265666f782f34392e300d0a4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a
22	192.168.2.2	80	192.168.1.3	45006	0x00000012	
23	192.168.2.2	80	192.168.1.3	45004	0x00000010	
24	192.168.1.3	45006	192.168.2.2	80	0x00000010	
25	192.168.1.3	45006	192.168.2.2	80	0x00000018	474554202f3f35343020485454502f312e310d0a
26	192.168.2.2	80	192.168.1.3	45006	0x00000010	
27	192.168.1.3	45008	192.168.2.2	80	0x00000002	
28	192.168.2.2	80	192.168.1.3	45008	0x00000012	
29	192.168.1.3	45006	192.168.2.2	80	0x00000018	557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35312e302e323730342e3739205361666172692f3533372e333620456467652f31342e31343339334d6f7a696c6c612f352e30202857696e646f7773204e542031302e303b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a
30	192.168.2.2	80	192.168.1.3	45006	0x00000010	
31	192.168.1.3	45008	192.168.2.2	80	0x00000010	
32	192.168.1.3	45008	192.168.2.2	80	0x00000018	474554202f3f35373420485454502f312e310d0a
33	192.168.2.2	80	192.168.1.3	45008	0x00000010	
34	192.168.1.3	45010	192.168.2.2	80	0x00000002	
35	192.168.1.3	45008	192.168.2.2	80	0x00000018	557365722d4167656e743a204d6f7a696c6c612f352e30202857696e646f7773204e5420362e313b2057696e36343b2078363429204170706c655765624b69742f3533372e333620284b48544d4c2c206c696b65204765636b6f29204368726f6d652f35332e302e323738352e313433205361666172692f3533372e33360d0a4163636570742d6c616e67756167653a20656e2d55532c656e2c713d302e350d0a
36	192.168.2.2	80	192.168.1.3	45010	0x00000012	
37	192.168.2.2	80	192.168.1.3	45008	0x00000010	
38	192.168.1.3	45010	192.168.2.2	80	0x00000010	
39	192.168.1.3	45010	192.168.2.2	80	0x00000018	474554202f3f3132313320485454502f312e310d0a
40	192.168.2.2	80	192.168.1.3	45010	0x00000010	
