ip.src	udp.srcport	ip.dst	udp.dstport
192.168.1.3	2769	192.168.2.2	0
192.168.1.3	2770	192.168.2.2	0
192.168.1.3	2771	192.168.2.2	0
192.168.1.3	2772	192.168.2.2	0
192.168.1.3	2773	192.168.2.2	0
192.168.1.3	2774	192.168.2.2	0
192.168.1.3	2775	192.168.2.2	0
192.168.1.3	2776	192.168.2.2	0
192.168.1.3	2777	192.168.2.2	0
192.168.1.3	2778	192.168.2.2	0
192.168.1.3	2779	192.168.2.2	0
192.168.1.3	2780	192.168.2.2	0
192.168.1.3	2781	192.168.2.2	0
192.168.1.3	2782	192.168.2.2	0
192.168.1.3	2783	192.168.2.2	0
192.168.1.3	2784	192.168.2.2	0
192.168.1.3	2785	192.168.2.2	0
192.168.2.2,192.168.1.3	2769	192.168.1.3,192.168.2.2	0
192.168.2.2,192.168.1.3	2770	192.168.1.3,192.168.2.2	0
192.168.2.2,192.168.1.3	2771	192.168.1.3,192.168.2.2	0
192.168.2.2,192.168.1.3	2772	192.168.1.3,192.168.2.2	0
192.168.2.2,192.168.1.3	2773	192.168.1.3,192.168.2.2	0
192.168.1.3	2786	192.168.2.2	0
192.168.1.3	2787	192.168.2.2	0
192.168.1.3	2788	192.168.2.2	0
192.168.1.3	2789	192.168.2.2	0
192.168.1.3	2790	192.168.2.2	0
192.168.1.3	2791	192.168.2.2	0
192.168.1.3	2792	192.168.2.2	0
192.168.1.3	2793	192.168.2.2	0
192.168.1.3	2794	192.168.2.2	0
192.168.1.3	2795	192.168.2.2	0
192.168.1.3	2796	192.168.2.2	0
192.168.1.3	2797	192.168.2.2	0
192.168.1.3	2798	192.168.2.2	0
192.168.1.3	2799	192.168.2.2	0
192.168.1.3	2800	192.168.2.2	0
192.168.1.3	2801	192.168.2.2	0
192.168.1.3	2802	192.168.2.2	0
192.168.1.3	2803	192.168.2.2	0
192.168.1.3	2804	192.168.2.2	0
192.168.1.3	2805	192.168.2.2	0
192.168.1.3	2806	192.168.2.2	0
192.168.1.3	2807	192.168.2.2	0
192.168.1.3	2808	192.168.2.2	0
192.168.1.3	2809	192.168.2.2	0
192.168.1.3	2810	192.168.2.2	0
192.168.1.3	2811	192.168.2.2	0
192.168.1.3	2812	192.168.2.2	0
192.168.1.3	2813	192.168.2.2	0
192.168.1.3	2814	192.168.2.2	0
192.168.1.3	2815	192.168.2.2	0
192.168.1.3	2816	192.168.2.2	0
192.168.1.3	2817	192.168.2.2	0
192.168.1.3	2818	192.168.2.2	0
192.168.1.3	2819	192.168.2.2	0
192.168.1.3	2820	192.168.2.2	0
192.168.1.3	2821	192.168.2.2	0
192.168.1.3	2822	192.168.2.2	0
192.168.1.3	2823	192.168.2.2	0
192.168.1.3	2824	192.168.2.2	0
192.168.1.3	2825	192.168.2.2	0
192.168.1.3	2826	192.168.2.2	0
192.168.1.3	2827	192.168.2.2	0
192.168.1.3	2828	192.168.2.2	0
192.168.1.3	2829	192.168.2.2	0
192.168.1.3	2830	192.168.2.2	0
192.168.1.3	2831	192.168.2.2	0
192.168.1.3	2832	192.168.2.2	0
192.168.1.3	2833	192.168.2.2	0
192.168.1.3	2834	192.168.2.2	0
192.168.1.3	2835	192.168.2.2	0
192.168.1.3	2836	192.168.2.2	0
192.168.1.3	2837	192.168.2.2	0
192.168.1.3	2838	192.168.2.2	0
192.168.2.2,192.168.1.3	2774	192.168.1.3,192.168.2.2	0
192.168.1.3	2839	192.168.2.2	0
192.168.1.3	2840	192.168.2.2	0
192.168.1.3	2841	192.168.2.2	0
192.168.1.3	2842	192.168.2.2	0
192.168.1.3	2843	192.168.2.2	0
192.168.1.3	2844	192.168.2.2	0
192.168.1.3	2845	192.168.2.2	0
192.168.1.3	2846	192.168.2.2	0
192.168.1.3	2847	192.168.2.2	0
192.168.1.3	2848	192.168.2.2	0
192.168.1.3	2849	192.168.2.2	0
192.168.1.3	2850	192.168.2.2	0
192.168.1.3	2851	192.168.2.2	0
192.168.1.3	2852	192.168.2.2	0
192.168.1.3	2853	192.168.2.2	0
192.168.1.3	2854	192.168.2.2	0
192.168.1.3	2855	192.168.2.2	0
192.168.1.3	2856	192.168.2.2	0
192.168.1.3	2857	192.168.2.2	0
192.168.1.3	2858	192.168.2.2	0
192.168.1.3	2859	192.168.2.2	0
192.168.1.3	2860	192.168.2.2	0
192.168.1.3	2861	192.168.2.2	0
192.168.1.3	2862	192.168.2.2	0
192.168.1.3	2863	192.168.2.2	0
192.168.1.3	2864	192.168.2.2	0
192.168.1.3	2865	192.168.2.2	0
192.168.1.3	2866	192.168.2.2	0
192.168.1.3	2867	192.168.2.2	0
192.168.1.3	2868	192.168.2.2	0
192.168.1.3	2869	192.168.2.2	0
192.168.1.3	2870	192.168.2.2	0
192.168.1.3	2871	192.168.2.2	0
192.168.1.3	2872	192.168.2.2	0
192.168.1.3	2873	192.168.2.2	0
192.168.1.3	2874	192.168.2.2	0
192.168.1.3	2875	192.168.2.2	0
192.168.1.3	2876	192.168.2.2	0
192.168.1.3	2877	192.168.2.2	0
192.168.1.3	2878	192.168.2.2	0
192.168.1.3	2879	192.168.2.2	0
192.168.1.3	2880	192.168.2.2	0
192.168.1.3	2881	192.168.2.2	0
192.168.1.3	2882	192.168.2.2	0
192.168.1.3	2883	192.168.2.2	0
192.168.1.3	2884	192.168.2.2	0
192.168.1.3	2885	192.168.2.2	0
192.168.1.3	2886	192.168.2.2	0
192.168.1.3	2887	192.168.2.2	0
192.168.1.3	2888	192.168.2.2	0
192.168.1.3	2889	192.168.2.2	0
192.168.1.3	2890	192.168.2.2	0
192.168.1.3	2891	192.168.2.2	0
192.168.1.3	2892	192.168.2.2	0
192.168.1.3	2893	192.168.2.2	0
192.168.1.3	2894	192.168.2.2	0
192.168.1.3	2895	192.168.2.2	0
192.168.1.3	2896	192.168.2.2	0
192.168.1.3	2897	192.168.2.2	0
192.168.1.3	2898	192.168.2.2	0
192.168.1.3	2899	192.168.2.2	0
192.168.1.3	2900	192.168.2.2	0
