frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport	smb.server_component	smb.cmd	smb.nt_status	smb.reserved	smb.error_class	smb.error_code	smb.flags2	smb.sc	smb.nt.function	smb.dialect
4	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	114		00,0000	0x00000000	0x00000000	0x00002801			LANMAN1.0,LM1.2X002,NT LANMAN 1.0,NT LM 0.12
5	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	114		00,0000	0x00000000	0x00000000	0x00002801			
7	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	115,255		00,0000,00,00000000	0x00000000	0x00000000	0x00002801			
8	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	115,255	3221225494	0000,00			0x00006801			
10	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	115,255		00,0000,00,00000000	0x00000000	0x00000000	0x00002801			
11	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	115	3221225581	0000			0x00006801			
13	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	115,255		00,0000,00,00000000	0x00000000	0x00000000	0x00002001			
14	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	115,255		00,0000,00	0x00000000	0x00000000	0x00002001			
16	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	117,255		00,0000,00	0x00000000	0x00000000	0x00002801			
17	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	117,255		00,0000,00	0x00000000	0x00000000	0x00002801			
19	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	37		00,0000,00,0000,00	0x00000000	0x00000000	0x00002801	2		
20	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	37	3221225989	0000			0x00006801			
29	192.168.1.3	34875	192.168.2.2	445	0x424d53ff	50	0	0000,00,0000,00			0x0000c007	1		
32	192.168.2.2	445	192.168.1.3	34875	0x424d53ff	50	3221225474	0000			0x0000c007			
41	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	114	0	0000			0x0000e801			NT LM 0.12
42	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	114	0	0000			0x0000e801			
44	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	115,255	0	0000,00,00000000			0x00006001			
45	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	115,255	0	0000,00			0x00006001			
47	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	117,255	0	0000,00			0x00006001			
48	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	117,255	0	0000,00			0x00006001			
50	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	160	0	0000,0000			0x0000c007	1	0	
51	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	160	0	0000			0x0000c007		0	
53	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	51	0	0000			0x0000c007			
54	192.168.1.3	35325	192.168.2.2	445	0x424d53ff,0x424d53ff	51,51	0,0	0000,0000			0x0000c007,0x0000c007			
59	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	51	0	0000			0x0000c007			
60	192.168.1.3	35325	192.168.2.2	445	0x424d53ff,0x424d53ff	51,51	0,0	0000,0000			0x0000c007,0x0000c007			
61	192.168.1.3	35325	192.168.2.2	445	0x424d53ff,0x424d53ff,0x424d53ff	51,51,51	0,0,0	0000,0000,0000			0x0000c007,0x0000c007,0x0000c007			
62	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	51	0	0000			0x0000c007			
68	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	51	0	0000			0x0000c007			
69	192.168.1.3	35325	192.168.2.2	445	0x424d53ff,0x424d53ff,0x424d53ff,0x424d53ff	51,51,51,51	0,0,0,0	0000,0000,0000,0000			0x0000c007,0x0000c007,0x0000c007,0x0000c007			
78	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	43	0	0000			0x00006001			
79	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	43	0	0000			0x00006001			
84	192.168.1.3	46403	192.168.2.2	445	0x424d53ff	114	0	0000			0x0000e801			NT LM 0.12
85	192.168.2.2	445	192.168.1.3	46403	0x424d53ff	114	0	0000			0x0000e801			
87	192.168.1.3	46403	192.168.2.2	445	0x424d53ff	115,255	0	0000,00,00000000			0x0000c007			
88	192.168.2.2	445	192.168.1.3	46403	0x424d53ff	115,255	0	0000,00			0x0000c007			
141	192.168.1.3	35549	192.168.2.2	445	0x424d53ff	114	0	0000			0x0000e801			NT LM 0.12
142	192.168.2.2	445	192.168.1.3	35549	0x424d53ff	114	0	0000			0x0000e801			
144	192.168.1.3	35549	192.168.2.2	445	0x424d53ff	115,255	0	0000,00,00000000			0x00004007			
145	192.168.2.2	445	192.168.1.3	35549	0x424d53ff	115,255	0	0000,00			0x00004007			
177	192.168.1.3	35325	192.168.2.2	445	0x424d53ff	51	0	0000			0x0000c007			
179	192.168.2.2	445	192.168.1.3	35325	0x424d53ff	50	3221225485	0000,0000,00			0x0000c007	0		
